ID,Block_Name,Block_RV,Estate_ID
1,Southwyck House 100-377 Cons,51546,1
2,David House,4392,2
3,Stambourne House 1-20,6120,3
4,Penryn House 1-66,15771,4
5,Aveline Street 4-50 Even,5448,5
6,Brangton Road 2-24,3524,5
7,Farnley House 1-48,10640,6
8,Quennel House 1-20 Cons,6040,7
9,Jewell House 1-10 Cons,3300,7
10,Mead Row 1-16 Cons,4173,8
11,Grover House 11-40,10160,5
12,Gannet Court 11-12,3768,9
13,Chardin House 1-15,3971,10
14,Santley House 1-115,24985,11
15,Barcombe Avenue 239-241,434,12
16,Ebenezer House 1-80,23992,13
17,Hope Park 74-108 [Even],4404,14
18,Hope Park 77-117,4122,14
