BD CODE,BD NAME,BD RATEABLE VALUE
BD000001,CLARKE HOUSE 4-6,546
BD000002,CLARKE HOUSE 7-15,1725
BD000003,CLARKE HOUSE 16-21,1092
BD000004,WOOD HOUSE,3225
BD000006,MACAULAY ROAD 26 A-C,1464
BD000007,CLAPHAM PARK ROAD 41-51,1216
BD000008,NELSONS ROW 1-31 ODD 10,3742
BD000009,NELSONS ROW 33-47,1688
BD000010,GRAFTON SQUARE,612
BD000011,NELSONS ROW 49-63,1688
BD000012,NELSONS ROW 65-79,1662
BD000013,NELSONS ROW 81-95,1662
BD000014,NELSON S ROW 97-111,1938
BD000015,NELSONS ROW 30-44 EVEN,1838
BD000016,NELSONS ROW 46-60,1838
BD000017,NELSONS ROW 70-84 EVENS,1856
BD000018,TRIANGLE PLACE 1-23 CONS,4842
BD000019,TRIANGLE PLACE 24-55,6925
BD000020,WHITES SQUARE 1-32 CONS,7352
BD000021,JEFFREYS ROAD 61-65,1462
BD000022,DARLINGTON HOUSE 1-35,8980
BD000023,HUNTER HOUSE 1-35,8980
BD000024,CHARMAN HOUSE 1-30,5028
BD000025,LOCKYER HOUSE 1-12A & 14 -24,4656
BD000026,EVANS HOUSE 1-17,4722
BD000027,JOHNSON HOUSE 1-17,4722
BD000028,WEBB HOUSE 1-56,14216
BD000029,GUILDFORD COURT 1-9,2277
BD000030,TRADESCANT ROAD 40-56 EVE,2106
BD000031,WALBERSWICK STREET 5-11,1346
BD000032,CUBITT TERRACE 7-17,1363
BD000033,CUBITT TERRACE 19-29,1363
BD000034,CUBITT TERRACE 28-38,1539
BD000035,BELMONT CLOSE,236
BD000036,STONHOUSE STREET 107-129,3439
BD000037,STONHOUSE STREET 167-177,2798
BD000038,CLAPHAM MANOR STREET 108-118 EVEN,3480
BD000039,CLAPHAM MANOR STREET 120 A-D 122 A-D,2320
BD000040,CRESSET STREET,227
BD000041,CRESSET STREET,227
BD000042,CRESSET STREET 25-36,2798
BD000043,CALLINGHAM HOUSE 1-36,11100
BD000044,GREENER HOUSE 1-36,11124
BD000045,HUGH MORGAN HOUSE 1-10,3220
BD000046,ROY RIDLEY HOUSE 1-16,4872
BD000047,RUSSELL PICKERING HOUSE 1-24,7400
BD000048,STRINGER LODGE 1-8,1782
BD000049,TOWNS HOUSE 1-24,6192
BD000050,ZAIRE COURT 1-6,1696
BD000051,CLAPHAM MANOR COURT 7-13 & 14 FLATS A-F,3261
BD000052,CANDIDE LODGE 1-4,1051
BD000053,CHELSHAM HOUSE 1-12,3624
BD000054,BENTLEY COURT,1772
BD000055,ORLANDO COURT 43-53,1415
BD000056,RASHLEIGH COURT FLATS A-P,3580
BD000057,LAMBOURN COURT 23-33 ODD,1541
BD000058,WILLIAM BONNEY ESTATE 1-24,5715
BD000059,WILLIAM BONNEY ESTATE 25-45,5026
BD000060,WILLIAM BONNEY ESTATE 46-69,6038
BD000061,WILLIAM BONNEY ESTATE 70-108,8062
BD000062,WILLIAM BONNEY ESTATE 109-124,3502
BD000063,WILLIAM BONNEY ESTATE 125-164,8318
BD000064,WILLIAM BONNEY ESTATE 165-184,4388
BD000066,GASKELL STREET,270
BD000067,GASKELL STREET 70-80,1620
BD000068,BELMONT CLOSE 6-19 CONS,3068
BD000069,BELMONT CLOSE,302
BD000070,CUBITT TERRACE 48-68,2254
BD000071,HICKMORE WALK 25-35 ODD,1292
BD000072,STONHOUSE STREET,223
BD000073,CRESSET STREET,286
BD000074,CUBITT TERRACE 72-84 EVEN,1414
BD000075,CUBITT TERRACE,250
BD000076,CUBITT TERRACE,250
BD000077,CUBITT TERRACE 96-106,1019
BD000078,CUBITT TERRACE 108-110,388
BD000079,CLAPHAM MANOR STREET,338
BD000080,CLAPHAM MANOR STREET,334
BD000081,STONHOUSE STREET 131-133,414
BD000082,STONHOUSE STREET,294
BD000083,STONHOUSE STREET 161 & 163,481
BD000084,HICKMORE WALK,278
BD000085,HICKMORE WALK,266
BD000086,HICKMORE WALK,266
BD000087,HICKMORE WALK,254
BD000088,HICKMORE WALK 13 & 13A,388
BD000089,KNOWLES WALK 1-4,676
BD000090,KNOWLES WALK 9-12,676
BD000091,KNOWLES WALK 17-20,808
BD000092,CHIP STREET,250
BD000093,CHIP STREET,250
BD000094,ROBERTSON STREET,310
BD000095,ROBERTSON STREET,310
BD000096,ROBERTSON STREET,298
BD000097,ROBERTSON STREET,290
BD000098,ROBERTSON STREET,302
BD000099,ROBERTSON STREET,310
BD000100,ROBERTSON STREET,298
BD000101,HEATH ROAD,298
BD000102,HEATH ROAD 147-149,422
BD000103,HEATH ROAD,376
BD000104,HEATH ROAD,376
BD000105,HEATH ROAD 171-173,422
BD000106,HEATH ROAD 175-183 ODD,1316
BD000107,HEATH ROAD,310
BD000108,GASKELL STREET 5-7,446
BD000109,GASKELL STREET 9&11,446
BD000111,LARKHALL LANE,236
BD000112,THORNE ROAD 17-36,4546
BD000113,THORNE ROAD,266
BD000114,HEATH ROAD,250
BD000115,HEATH ROAD,298
BD000116,GASKELL STREET,258
BD000117,GASKELL STREET,258
BD000118,GASKELL STREET 59-65,892
BD000119,GASKELL STREET,215
BD000120,GASKELL STREET,215
BD000121,GASKELL STREET,258
BD000122,GASKELL STREET 117-119!137-139,892
BD000123,GASKELL STREET 125-131,892
BD000124,HEATH ROAD 70-74,858
BD000125,HEATH ROAD 80-82,372
BD000126,HEATH ROAD 86-88,422
BD000127,HEATH ROAD 90-92,422
BD000128,JEFFREYS ROAD 67-85,2230
BD000129,MCCALL CLOSE,236
BD000130,MCCALL CLOSE,236
BD000132,MCCALL CLOSE,278
BD000133,MCCALL CLOSE,278
BD000134,MORESBY WALK,322
