Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
Clarke House 4-6,546,0,0,589.86,338.84,0,0,0,0,0,0,0,0,384.97,0,0,0,0,0,437.42,0,0,,
Clarke House 7-15,1725,0,0,1863.56,465.34,0,0,904.96,0,0,0,0,0,561.59,0,0,0,0,0,1075.46,0,0,,
Clarke House 16-21,1092,0,0,1179.71,516.48,0,0,1131.2,0,0,0,0,0,0,0,0,0,0,0,2693.11,0,0,,
Kingsley House 1-16,3477,0,0,4517.9,864.42,0,0,0,0,0,0,0,0,769.93,0,0,0,0,0,10057.48,0,0,,
Wood House,3225,0,0,4190.46,1057.23,0,0,0,0,0,0,0,0,769.93,0,0,0,0,0,1001.66,0,0,,
Clapham Park Road 41-51,1216,0,0,0,445.05,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,499.04,0,0,,
Nelsons Row 1-31 Odd 10,3742,0,0,0,912.76,1122.92,750.61,226.24,0,0,0,105.74,0,769.93,0,0,0,0,0,1555.62,0,0,,
Nelsons Row 33-47 (Odd),1688,0,0,0,590.67,561.47,0,226.24,0,0,0,0,0,384.97,0,0,0,0,0,2096.74,0,0,,
Nelsons Row 49-63,1688,0,0,0,180.6,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,463.82,0,0,,
Nelsons Row 65-79,1662,0,0,0,405.61,553.72,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,2223.42,0,0,,
Nelsons Row 81-95,1662,0,0,0,482.05,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,1211.92,0,0,,
Nelson S Row 97-111,1938,0,0,0,447.77,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,536.66,0,0,,
Nelsons Row 113-127,1938,0,0,0,595.09,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,2108.93,0,0,,
Nelsons Row 30-44 Even,1838,0,0,0,523,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,3316.84,0,0,,
Nelsons Row 46-60,1838,0,0,0,620.51,561.47,375.31,226.24,0,0,0,0,0,384.97,0,0,0,0,0,4068.45,0,0,,
Nelsons Row 70-84 Evens,0,0,0,0,638.13,561.47,375.31,226.24,0,0,0,105.74,0,384.97,0,0,0,0,0,1261.94,0,0,,
Triangle Place 1-23 Cons,4842,0,0,0,1395.62,1668.91,1125.92,226.24,0,0,0,105.74,0,1154.9,0,0,0,0,0,3444,0,0,,
Triangle Place 24-55,6925,0,0,0,1745.07,2245.85,1501.22,226.24,0,0,0,211.48,0,2078.18,0,0,0,0,0,9305.99,0,0,,
Whites Square 1-32 Cons,7352,0,0,0,5090.82,2807.32,1876.53,226.24,0,0,0,0,0,1924.83,0,0,0,0,0,15485.25,0,0,,
Jeffreys Road 61-65,1462,0,0,1899.68,371.22,0,0,0,0,0,0,0,0,0,466.87,0,0,0,0,363.55,0,0,,
Darlington House 1-35,8980,0,0,8815.95,2410.2,0,0,1292.98,0,0,0,528.7,0,384.97,0,0,0,0,0,4489.62,1375.04,349.72,,
Hunter House 1-35,8980,0,0,8815.95,3542.43,0,0,1292.98,0,0,0,105.74,0,384.97,0,0,0,0,0,2915.56,1375.04,836.85,,
Charman House 1-30,5028,0,0,4936.15,314.98,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,6060.64,0,349.72,,
Lockyer House 1-12a & 14 -24,4656,0,0,4570.94,1325.09,0,0,904.96,0,0,0,0,0,0,0,0,0,0,0,2721.65,0,349.72,,
Evans House 1-17,4722,0,0,4635.74,703.07,0,267.8,452.47,0,0,0,105.74,0,769.92,0,0,0,0,0,366.16,0,349.72,,
Johnson House 1-17,4722,0,0,4635.74,909.23,0,267.8,452.47,0,0,0,211.48,0,769.92,0,0,0,0,0,1664.3,0,349.72,,
Webb House 1-56,14216,0,0,13956.3,6259.55,0,0,904.96,0,0,0,211.48,0,2657.1,0,0,0,0,0,5715.62,1375.04,988.04,,
Guildford Court 1-9,2277,0,0,2235.4,462.18,0,0,452.47,0,0,0,105.74,0,384.97,0,0,0,0,0,683.2,0,0,,
Tradescant Road 40-56 Eve,2106,0,0,2067.53,0,101.7,0,452.47,0,0,0,0,0,0,0,0,0,0,0,375.57,0,0,,
Walberswick Street 5-11,1346,0,0,1321.41,318.17,0,0,452.47,0,0,0,0,0,384.97,209.83,70.54,0,0,0,1025.49,0,0,,
Cubitt Terrace 7-17,1363,0,0,2274.68,181.69,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,938.93,0,0,,
Cubitt Terrace 19-29,1363,0,0,2274.68,181.69,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,547.09,0,0,,
Cubitt Terrace 28-38,1539,0,0,2568.4,689.41,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,5138.89,0,0,,
Stonhouse Street 107-129,3439,0,0,5739.26,527.74,0,0,0,0,0,0,422.96,0,384.97,0,0,0,0,0,1030.49,0,0,,
Stonhouse Street 167-177,2798,0,0,4669.51,709.6,0,0,0,0,0,0,211.48,0,769.93,0,0,0,0,0,10406.06,0,0,,
Clapham Manor Street 108-118 Even,3480,0,0,5807.68,622.66,0,0,0,0,0,0,105.74,0,384.97,0,0,0,0,0,1268.31,0,0,,
Clapham Manor Street 120 A-D 122 A-D,2320,0,0,3871.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.44,0,0,,
Cresset Street 25-36,2798,0,0,4669.51,944.45,0,0,0,0,0,0,0,0,769.92,0,0,0,0,0,13604.06,0,0,,
Callingham House 1-36,11100,0,0,10897.22,4225.65,900.15,0,2087.53,0,0,0,105.74,306.63,1154.88,0,0,0,0,0,14890.16,4876.4,1002.32,,
Greener House 1-36,11124,0,0,10920.78,8127.57,561.47,0,2087.53,0,0,0,422.96,306.63,1154.88,0,0,0,0,0,16124.98,4876.4,349.72,,
Hugh Morgan House 1-10,3220,0,0,3161.18,6718.64,561.47,267.8,452.47,0,0,0,0,0,384.97,0,0,0,0,0,346.65,1375.04,349.72,,
Roy Ridley House 1-16,4872,0,0,4783,935.1,561.47,398.75,904.96,0,0,0,0,0,1025.05,0,0,0,0,0,776.17,0,0,,
Russell Pickering House 1-24,7400,0,0,7264.82,3820.8,561.47,0,678.72,0,0,0,211.48,306.63,769.92,0,0,0,0,0,4692.38,3250.94,349.72,,
Stringer Lodge 1-8,1782,0,0,1749.45,814.93,553.72,0,452.47,0,0,0,211.48,0,384.97,0,0,0,0,0,1613.57,0,0,,
Towns House 1-24,6192,0,0,6078.88,1882.33,561.47,586.16,1809.91,0,0,0,105.74,306.63,384.97,0,0,0,0,0,8591.92,1375.04,349.72,,
Zaire Court 1-6,1696,0,0,2830.41,4380.29,0,0,226.24,0,0,0,0,0,384.97,0,0,0,0,0,604.35,0,0,,
Clapham Manor Court 7-13 & 14 Flats A-F,3261,0,0,5442.2,1702.62,0,0,0,0,0,0,0,0,1154.88,0,0,0,0,0,7566.52,0,0,,
Candide Lodge 1-4,1051,0,0,1753.99,312.69,0,0,226.24,0,0,0,0,0,384.97,0,0,0,0,0,713.75,0,0,,
Chelsham House 1-12,3624,0,0,3557.8,245.55,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,863.49,0,0,,
Bentley Court,1772,0,0,0,320.02,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,1355.64,0,0,,
Orlando Court 43-53,1415,0,0,1528.66,420.3,0,0,904.96,0,0,0,0,0,384.97,0,0,0,0,0,367.34,0,0,,
Rashleigh Court Flats A-P,3580,0,0,2512.05,1058.98,0,0,452.47,0,0,0,0,0,1154.9,0,0,0,0,0,1812.33,0,0,,
Lambourn Court 23-33 Odd,1541,0,0,1664.78,948.29,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,129.19,0,0,,
