Block Structure Code,Total Block Rateable Value,Block Name,BD Code (Only issued if block contains Homeowners)
STR000001,2032,PEAR TREE HOUSE 1-8,BD001276
STR000002,7126,SUMMERSELL HOUSE 1-28 CONS,BD001255
STR000003,2472,DEAUVILLE MANSIONS (1-8),BD002443
STR000004,6465,HARLEYFORD COURT 1-30,BD002983
STR000008,1782,STRINGER LODGE 1-8,BD000048
STR000010,3624,HALTONE HOUSE 1-12,BD000318
STR000011,5041,LEDA COURT 1-19,BD002886
STR000013,7627,TELFORD AVENUE MANSIONS,
STR000014,2449,WINCHEAP COURT 1-8,BD000465
STR000016,19890,WOOLLEY HOUSE 1-80,BD000509
STR000018,5123,COMINS HOUSE 1-18,BD002201
STR000019,11061,TILFORD HOUSE 1-40,BD001375
STR000020,4055,COLCHESTER HOUSE 1-20,BD000283
STR000022,2080,DOWNBARTON HOUSE 1-8,BD000442
STR000025,12992,MANDEVILLE HOUSE 1-48,BD002202
STR000026,11061,THURSLEY HOUSE 1-40,BD001374
STR000029,13114,"GREET HOUSE 1-55 & 28A, 37A",BD003059
STR000031,1682,CONISTON COURT,
STR000033,4392,EDGAR HOUSE 1-16,BD002892
STR000034,4432,HATHERSLEY HOUSE 1-16,BD001081
STR000036,52299,DUMBARTON COURT 1-230,BD002452
STR000038,4632,MANNERING HOUSE 1-16,BD002746
STR000040,5616,NAYLOR HOUSE 1-22,BD000346
STR000042,20592,DURRINGTON TOWER 1-80,BD000324
STR000044,3624,SURCOT HOUSE 1-12,BD000317
STR000045,9000,NEWBURY HOUSE,BD000531
STR000046,5393,DONNINGTON HOUSE 1-24,BD000292
STR000047,5106,TENDRING HOUSE 1-20,BD001092
STR000048,4072,ASTLEY HOUSE 1-16,BD001260
STR000049,5854,ASTBURY HOUSE 1-24,BD002834
STR000050,20086,ARROWSMITH HOUSE 1-80,BD002815
STR000051,10136,KINGS HOUSE 1-42,BD002943
STR000052,1776,VERWOOD HOUSE 1-12,BD003070
STR000055,5880,DOULTON HOUSE 1-20,BD002838
STR000056,5220,MOIRA HOUSE 1-20 CONS,BD000450
STR000058,3432,FULMAR COURT 1-12,BD001299
STR000059,6111,LYNDE HOUSE 1-26,BD000362
STR000060,4003,ISABELLA HOUSE 1-15,BD002832
STR000061,5316,ARGOS COURT 1-18,BD002877
STR000062,5980,ROMANY PROSPECT 1-30 CONS,BD001410
STR000063,7951,STANMORE HOUSE 1-38,BD000300
STR000064,4618,ALDER COURT 1-16,BD001235
STR000066,4344,KNIGHTS HOUSE 1-6 & 9-14 & 17-22,BD002947
STR000071,7506,COPELAND HOUSE 1-29,BD002837
STR000076,6312,ELDON HOUSE 1-22,BD000478
STR000077,8348,POOLE HOUSE 1-32,BD002842
STR000078,6804,KNELLER HOUSE 1-32,BD000295
STR000079,16002,ELMORE HOUSE 1-63,BD000479
STR000080,6689,HARDHAM HOUSE,BD001072
STR000081,6715,STODMARSH HOUSE 1-30,BD000455
STR000082,3306,SYCAMORE COURT 1-12 CONS,BD001242
STR000083,7060,BRADFIELD HOUSE 1-37,BD000301
STR000084,3804,GOODBEHERE HOUSE 1-12,BD001258
STR000085,6864,OLIVER HOUSE 1-24,BD002899
STR000086,4384,HARTSWOOD HOUSE 1-16,BD002781
STR000089,12954,BROCKHAM HOUSE 1-48,BD001368
STR000090,3102,CHARLES MILLS COURT 1-12,BD001318
STR000091,5880,WILLIAM BROWN COURT 1-20,BD001381
STR000092,1664,RUSSELL COURT (1-6),BD001346
STR000093,7457,ARDEN HOUSE 1-35,BD003044
STR000094,258,FARNINGHAM COURT,BD001736
STR000095,584,SOUTHVIEW COURT 82 82A 83 83A 84 84A,
STR000096,4275,PENELOPE HOUSE 1-15,BD000452
STR000097,9245,CHESSINGTON HOUSE 1-44,BD000281
STR000099,2080,BROMSTONE HOUSE 1-8,BD000439
STR000100,5480,ALVANLEY HOUSE 1-20 CONS,BD000437
STR000101,1908,JESTON HOUSE,
STR000102,2544,EDRIDGE HOUSE 1-8,BD001310
STR000103,5583,NETHERBY HOUSE 1-24,BD000286
STR000104,16916,DOLLAND HOUSE 1-60,BD002851
STR000106,330,FOUNTAIN PLACE (36),BD003322
STR000107,3600,BUSHELL HOUSE 1-12,BD001261
STR000108,2781,SNOWE HOUSE,
STR000110,1696,ZAIRE COURT 1-6,BD000050
STR000111,4606,QUINTON HOUSE 1-16,BD002901
STR000118,3300,JEWELL HOUSE 1-10 CONS,BD002732
STR000119,6040,QUENNEL HOUSE 1-20 CONS,BD002734
STR000120,5516,SINCLAIR HOUSE 1-20,BD002727
STR000121,2573,HOLDSWORTH HOUSE (1-10),BD001082
STR000122,7651,RAINSFORD HOUSE 1-28,BD002747
STR000123,4148,NORMANTON HOUSE 1-16 CONS,BD002720
STR000125,6256,LANGHAM HOUSE 1-24,BD002199
STR000127,3624,CHELSHAM HOUSE 1-12,BD000053
STR000128,8055,VICTORIA MANSIONS 53-105,BD003178
STR000129,13410,KINGSGATE HOUSE 1-54,BD000447
STR000130,1415,ORLANDO COURT 43-53,BD000055
STR000132,860,"ILSLEY COURT (1-2,15-16)",BD000319
STR000133,3940,STURMINSTER HOUSE 1-14,BD003078
STR000134,2958,CADMUS COURT 1-12,BD002878
STR000136,13476,TANHURST HOUSE 1-49,BD001373
STR000137,3610,CONWAY HOUSE 1-15,BD002275
STR000138,4337,WORCESTER HOUSE 1-16 CONS,BD002807
STR000139,1597,BARRY COURT (1-6),BD002235
STR000140,9486,BADDELEY HOUSE 1-37,BD002816
STR000141,7550,FERRYBRIDGE HOUSE 1-30,BD002840
STR000142,2682,RYDAL HOUSE 1-12,BD000291
STR000146,5980,LAMBETH PROSPECT 1-30 CONS,BD001409
STR000147,4616,CLIMSLAND HOUSE 1-20,BD003199
STR000148,24985,SANTLEY HOUSE,BD003060
STR000150,1960,FALLODON HOUSE (1-8),BD000304
STR000153,11340,HYPERION HOUSE (1-36),BD000521
STR000154,5508,LUCAS HOUSE 1-22,BD000353
STR000155,8997,LOPEZ HOUSE 1-42,BD000376
STR000156,3094,REEVES HOUSE 1-16,BD003061
STR000158,2979,HENRY HOUSE 1-18,BD002895
STR000161,2022,"SHARP HOUSE 15-17,26-28,37-39",BD000315
STR000162,3982,HARDWICK HOUSE 1-18,BD000285
STR000164,8292,HOLLES HOUSE 1-45,BD000534
STR000165,5400,FAIRFAX HOUSE,BD000535
STR000166,245,FERN LODGE,BD001379
STR000168,3060,BEAUCLERK HOUSE (1-10),BD002153
STR000171,5652,HERON COURT 1-18,BD001291
STR000173,5752,OAKWELL HOUSE 1-26,BD000288
STR000177,12587,NEVIL HOUSE 1-53,BD000487
STR000178,8092,CORK TREE HOUSE 1-40,BD001197
STR000180,8224,WESTBROOK HOUSE 1-32,BD002216
STR000181,2528,CALAIS GATE (1-8),BD001014
STR000183,9900,SELWAY HOUSE 2-36,BD000269
STR000184,12758,NORTHWOOD HOUSE,
STR000185,4256,JOSEF PERRIN HOUSE 1-16 CONS,BD001281
STR000186,1772,HOGARTH HOUSE (1-6),BD001262
STR000187,2385,CHAUCER HOUSE 1-9,BD001256
STR000188,4651,METCALFE HOUSE,BD000349
STR000190,10348,ANNESLEY HOUSE 1-40 CONS,BD000436
STR000191,4534,MORDAUNT HOUSE,BD000311
STR000193,6160,VERNON HOUSE 1-20,BD002858
STR000194,21074,KETTLEBY HOUSE 1-88,BD000485
STR000195,3122,TALLEYRAND HOUSE 5-18,BD000511
STR000196,3237,ADAM COURT 1-12,BD002861
STR000197,3320,KENBURY MANSIONS,BD000755
STR000198,4392,DAVID HOUSE 1-16,BD002891
STR000199,1212,DAMORIE HOUSE 1-6,BD002252
STR000205,8884,HOLT HOUSE 1-36,BD001083
STR000206,546,CLARKE HOUSE (1-3),
STR000207,966,WELLS HOUSE,
STR000208,4512,SPENCER HOUSE,BD000350
STR000209,2151,CARLTON MANSIONS 1-11 CONS,BD000255
STR000210,9500,LEARY HOUSE 1-40,BD002855
STR000211,1713,SHAREBOURNE HOUSE 1-6,BD001102
STR000212,5037,CALSTOCK HOUSE 1-24,BD002809
STR000213,18067,MOUNTAIN HOUSE 1-66,BD002821
STR000214,11704,MEATH HOUSE 1-44,BD001099
STR000215,4392,GILBERT HOUSE 1-16,BD002894
STR000216,4496,FARNSWORTH HOUSE 1-16 CONS,BD001228
STR000217,10160,GROVER HOUSE 1-40,BD002853
STR000218,6000,BEGBIE HOUSE 1-20,BD002268
STR000220,4340,MENTONE COURT 1-20,BD000277
STR000221,12741,BARNSBURY HOUSE 1-52,BD002284
STR000222,4820,BRISTOL HOUSE 1-20,BD002835
STR000223,5774,BILTON HOUSE 1-31,BD000298
STR000225,3099,COLE HOUSE 1-15,BD003063
STR000226,16780,CHARTHAM COURT 1-59,BD000461
STR000228,6274,ASCOT COURT 1-29,BD002439
STR000230,6864,NORMAN HOUSE 1-24,BD002898
STR000232,2128,DEAUVILLE COURT (1-8),BD002444
STR000233,3060,HECTOR COURT 1-10,BD002880
STR000235,18964,HOWARD HOUSE 1-78,BD000483
STR000236,7320,OSMINGTON HOUSE 1-26,BD003089
STR000241,2047,GIFFORD HOUSE (1-8),BD002187
STR000242,15172,ADDINGTON HOUSE 1-59,BD002267
STR000243,3426,TURNMILL HOUSE 1-12,BD001103
STR000245,24994,WARD POINT,BD003139
STR000246,10160,SIMPSON HOUSE 1-40,BD002857
STR000247,9528,DUNSFOLD HOUSE 1-35 CONS,BD001370
STR000248,4085,MINTON HOUSE 1-17,BD002805
STR000249,5037,FOWEY HOUSE,
STR000250,23992,EBENEZER HOUSE 1-80,BD002917
STR000251,3306,BLACKTHORN COURT 1-12,BD001238
STR000252,2080,SEASALTER HOUSE 1-8 CONS,BD000456
STR000254,6160,DUTTON HOUSE 1-24,BD002172
STR000256,12489,EASTMAN HOUSE 1-54,BD002729
STR000257,8672,RUSHTON HOUSE (1-38),BD000290
STR000258,4487,BELENOYD COURT,BD002089
STR000259,9288,DUNNOCK COURT 1-32,BD001295
STR000261,4410,MANTELL HOUSE 1-15,BD002200
STR000263,3150,HARFLEUR COURT 1-12,BD002867
STR000264,7931,COUCHMAN HOUSE 1-31,BD002717
STR000265,5784,THE CREST 1-20,BD001226
STR000270,6730,DALKEITH HOUSE 1-25,BD000514
STR000272,4722,EVANS HOUSE 1-17,BD000026
STR000274,1644,WOOD HOUSE (1-8),BD000004
STR000275,5513,HARCOURT HOUSE,BD000347
STR000276,1541,LESSAR COURT 1-6,BD002236
STR000278,6932,BALY HOUSE (1-26),BD002123
STR000279,3347,IRETON HOUSE,BD003393
STR000280,5613,SHIPLEY HOUSE,BD000351
STR000281,5790,WHITGIFT HOUSE 1-24 & 11A,BD002826
STR000282,4932,JUPITER COURT 1-18,BD002884
STR000283,10655,CLIFFSEND HOUSE 1-45,BD000441
STR000284,14216,WEBB HOUSE 1-56,BD000028
STR000286,3240,FLORENCE HOUSE 1-12,BD002249
STR000287,4940,LISKEARD HOUSE 1-18,BD002811
STR000288,1184,JESSIE WOOD COURT 1-8,BD002927
STR000289,3276,QUEENS HOUSE,BD002962
STR000290,4600,GRANT HOUSE,BD000313
STR000291,9110,KNEBWORTH HOUSE 1-40,BD000294
STR000292,3402,JUNO COURT 1-15,BD002883
STR000293,3085,CHILHAM COURT 1-10,BD000460
STR000294,3234,DRESDEN HOUSE,BD002839
STR000295,4817,POVEY HOUSE 1-20,BD001088
STR000296,3261,CLAPHAM MANOR COURT 7-13 & 14 FLATS A-F,BD000051
STR000297,6984,REDHILL COURT 5-22,BD001306
STR000298,1089,THE CAXTONS,BD001119
STR000300,4148,GORHAM HOUSE 1-16,BD002718
STR000301,4256,CHARLES STAUNTON HOUSE 1-16,BD001279
STR000302,1236,CYPRESS COURT 1-8,BD001244
STR000303,258,LAWN COURT,BD003245
STR000304,7468,DUCAVEL HOUSE (1-26),BD002127
STR000307,24688,FAIRFORD HOUSE,BD002916
STR000308,17758,PARK VIEW HOUSE 1-72,BD000697
STR000309,2973,PORTIA COURT 1-10 CONS,BD002868
STR000313,4960,HELSTON HOUSE 1-18,BD003279
STR000314,6748,HALLANE HOUSE 1-28,BD001413
STR000315,29046,BRITTANY POINT,BD003132
STR000316,7440,FALSTAFF COURT 1-30,BD002865
STR000317,927,THE WOODLANDS 1-6 CONS,BD001118
STR000318,4932,ARGYLL COURT 1-18,BD002243
STR000319,4662,BEECH COURT 1-16,BD001237
STR000320,16070,ASHBY HOUSE 1-67,BD000430
STR000321,2102,COVENNTRY HALL (19-27),
STR000322,6709,JAMESON HOUSE 1-25,BD002818
STR000323,7105,WISEMAN COURT 1-28 CONS,BD001278
STR000325,2451,EAGLE COURT 1-12,BD001293
STR000326,6930,CONSTANTINE HOUSE,BD002170
STR000327,4820,CAUGHLEY HOUSE 1-20,BD002836
STR000329,5668,CLOWES HOUSE 1-24,BD002251
STR000330,4392,ADRIAN HOUSE 1-16,BD002888
