Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
664476,0,STR016832,ENNL7,BD003261
664477,0,STR016828,ENNL7,BD003262
605720,0,STR013546,ENCS2,
605721,0,STR013546,ENCS2,
681836,0,STR006475,ENCS2,BD003397
681837,0,STR006475,ENCS2,
681838,0,STR006475,ENCS2,
660904,0,STR003722,ENNL1,BD003143
660914,0,STR011832,ENNL1,BD003145
660915,0,STR011832,ENNL1,BD003145
660916,0,STR011832,ENNL1,BD003145
660933,0,STR011838,ENNL1,BD003150
660942,0,STR011841,ENNL1,BD003153
660947,0,STR011843,ENNL1,BD003155
664447,0,STR000061,EA019,BD002877
652838,0,STR000575,EA117,
653623,0,STR000049,EA026,BD002834
653628,0,STR000049,EA026,BD002834
653633,0,STR000049,EA026,
653638,0,STR000049,EA026,
653643,0,STR000049,EA026,
653886,0,STR003538,EA117,BD002845
653887,0,STR003539,EA117,BD002845
653888,0,STR003539,EA117,
653889,0,STR003539,EA117,
653890,0,STR003539,EA117,
653891,0,STR003539,EA117,
653892,0,STR003539,EA117,BD002845
653893,0,STR003539,EA117,
653894,0,STR003539,EA117,BD002845
653895,0,STR003539,EA117,
653896,0,STR003539,EA117,
653897,0,STR003539,EA117,
607455,0,STR000223,EA104,
607460,0,STR000223,EA104,
607463,0,STR000223,EA104,
607468,0,STR000223,EA104,
607471,0,STR000223,EA104,
607476,0,STR000223,EA104,
607528,0,STR000083,EA104,
607529,0,STR000083,EA104,
607530,0,STR000083,EA104,
607540,0,STR000083,EA104,
607548,0,STR000083,EA104,
653909,0,STR000700,EA117,BD002847
653911,0,STR000700,EA117,BD002847
653932,0,STR000700,EA117,BD002847
620385,0,STR014115,ENHT1,
620389,0,STR014115,ENHT1,BD001056
620393,0,STR014115,ENHT1,
620397,0,STR014115,ENHT1,
620409,0,STR014115,ENHT1,BD003471
620417,0,STR014115,ENHT1,
620421,0,STR014115,ENHT1,BD0003590
620425,0,STR014115,ENHT1,
620437,0,STR020013,ENHT1,
620439,0,STR020014,ENHT1,
620443,0,STR020015,ENHT1,
620447,0,STR020016,ENHT1,
620451,0,STR020017,ENHT1,BD001066
620455,0,STR020018,ENHT1,
620459,0,STR020019,ENHT1,
620463,0,STR020020,ENHT1,
