Estate,RV,CCTV,Cleaning,Communal Electricity,Repairs and Maintenance,Grounds Maintenance,Tree Maintenance,,,Only Estates with Homeowners
Clarke House Flats,3909,0,7659.69,330.16,142.57,163.92,0,,,
Gaskell Street Estate,44452,0,58130.83,23314.61,4507.83,3395.18,5667.67,,,
Nelsons Row Estate,40613,0,14561.55,3518.19,85.64,0,0,,,
Hemans Estate,51304,0,38780,3866.15,2941.67,10344.87,1915.92,,,
Spurgeon Estate,87117,0,48711.91,9239.65,4446.04,3471.37,5126.21,,,
Tradescant Estate,2570,0,255.59,0,0,57.01,0,,,
Clapham Manor Estate,67122,0,52314.85,12639.27,744.61,7514.01,3883.11,,,
Clapham Road Estate,45690,0,18624.26,6631.25,535.28,9224.92,0,,,
Zaire Court Estate,1696,0,281.53,1095.07,0,166.64,0,,,
Candide Lodge Estate,1051,0,301.99,78.17,0,194.21,957.96,,,
Chelsham House Estate,3624,0,1086.46,61.39,0,346.88,0,,,
Bentley Court Flats,1772,0,694.1,80,0,339.38,0,,,
Orlando Court Flats,1415,0,682.84,105.07,0,430.26,0,,,
Heath Road Estate,88017,0,52728.46,2731.79,7614.99,3565.38,0,,,
Lambourn Court Flats,1541,0,238.89,237.07,0,368.13,0,,,
William Bonney Estate,40859,0,18627.97,8352.86,2569.42,14097.64,0,,,
Thorne Rd Estate,4812,0,0,286.82,0,0,0,,,
Charlotte Row Flats,4871,0,0,1986.11,194.79,204.26,2873.88,,,
Bobbin Close Flats,5824,0,381.57,270.22,64.23,244.23,0,,,
Emily Mansions Estate,2205,0,0,152.44,0,0,0,,,
Carlton Mansions Estate,2151,0,1943.38,178.07,42.83,84.37,0,,,
Rusper Court Estate,16682,0,6883.95,3021.5,0,998.93,0,,,
Mursell Estate,112685,0,74536.35,12682.96,7724.52,7781.68,0,,,
Springfield Estate,205142,0,138902.67,15093.68,1070.1,33463.67,7868.74,,,
Larkhall Estate,78970,0,54830.73,5527.37,1005.35,14042.69,5126.21,,,
Willard Estate,28129,0,11307.73,1851.88,3455.76,8058.97,1967.18,,,
Union Road Estate,7248,0,4150.99,439.74,839.33,292.18,0,,,
