ID,Block_Name,Block_RV,Estate_ID
BD000655,Southwyck House 100-377 Cons,51546,EA103
BD002891,David House,4392,EA130
BD000270,Stambourne House 1-20,6120,EA105
BD002924,Penryn House 1-66,15771,EA087
BD002845,Aveline Street 4-50 Even,5448,EA117
BD002848,Brangton Road 2-24,3524,EA117
BD000284,Farnley House 1-48,10640,EA104
BD002734,Quennel House 1-20 Cons,6040,EA121
BD002732,Jewell House 1-10 Cons,3300,EA121
BD003244,Mead Row 1-16 Cons,4173,EA122
BD002853,Grover House 11-40,10160,EA117
BD001289,Gannet Court 11-12,3768,EA093
BD000440,Chardin House 1-15,3971,EA036
BD003060,Santley House 1-115,24985,EA111
BD001961,Barcombe Avenue 239-241,434,EA069
BD002917,Ebenezer House 1-80,23992,EA035
BD001881,Hope Park 74-108 [Even],4404,EA058
BD001879,Hope Park 77-117,4122,EA058
BD000348,Seymour House 1-18,4645,EA068
BD000870,Brixton Road 355 Flats A-D & 353a,887,ENBR2
BD000866,Loughborough Road 33 Flats 1&2,532,ENNL7
BD001119,The Caxtons 7-12,1089,EA046
BD002621,Kingscroft 43-50,2103,EB069
BD000527,Witchwood House 1-39,12020,EA020
