Year_Start,Year_End,Estate_ID,Block_ID,Block_Boiler_Repairs_and_Maintenance,Block_Cleaning,Block_Communal_Electricity,Block_Communal_Electrical_Maintenance,Block_Communal_Ventilation_Maintenance,Block_Communal_Water_Quality,Block_Communal_Window_Cleaning,Block_Concierge,Block_CCTV,Block_Disinfestation,Block_Door_Entry_System,Block_Dry_Riser,Block_Lightning_Protection,Block_Lift_Services_and_Repairs,Block_Fire_Ventilation_Maintenance,Block_Repairs_and_Maintenance,Block_TV_Aerial,Block_Ext_Cleaning,Block_Ext_External_Tree_Maintenance,Block_Ext_Grounds_Maintenance,Block_Ext_Repairs_and_Maintenance,Estate_Cleaning,Estate_CCTV,Estate_Communal_Electricity,Estate_Grounds_Maintenance,Estate_Repairs_and_Maintenance,Estate_Tree_Maintenance
2022,2023,EA001,BD001328,0,5304.45,4297.94,2908.82,0,763.36,0,0,0,105.74,577.6,0,0,0,0,3101.48,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001329,0,5092.05,1930.42,1943.39,0,763.36,0,0,0,422.96,548.36,0,0,0,0,3291.67,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001330,0,4122.4,1042.62,2954.92,0,763.36,0,0,0,105.74,577.6,0,0,0,0,4628.93,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001331,0,6183.6,2762.86,2730.62,0,763.36,0,0,0,422.96,866.4,0,0,0,0,4151.59,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001332,0,4122.4,457.34,1820.41,0,763.36,0,0,0,422.96,577.6,0,0,0,0,3876.3,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001333,0,2172.02,0,910.2,0,763.36,0,0,0,105.74,288.8,0,0,0,0,1141.35,0,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA001,BD001334,0,2172.02,0,910.2,0,763.36,0,0,0,105.74,187.95,0,0,0,0,3149.03,96.99,0,0,0,0,22014.57,0,2622.79,8162.92,6032.25,336.41
2022,2023,EA004,BD002619,0,30827.6,13955.64,7058.56,0,3105.88,0,0,0,1903.32,4566.84,0,0,15844.92,0,14861.06,0,0,0,0,0,10436.63,0,3488.91,4537.9,424.78,336.41
2022,2023,EA006,BD001499,0,6102.42,0,1278.45,0,0,0,0,0,0,933.65,0,0,0,0,4293.08,363.71,0,0,0,0,17192.68,0,2932.88,1645.11,1293.73,0
2022,2023,EA006,BD001501,0,4881.94,0,1032.49,0,0,0,0,0,422.96,933.64,0,0,0,0,7360.09,290.97,0,0,0,0,17192.68,0,2932.88,1645.11,1293.73,0
