ID,Estate_Name,Estate_RV
EA103,Southwyck House Estate,52320
EA130,Wyvil Estate,70849
EA105,Spurgeon Estate,87117
EA087,Penwith Manor Estate,61580
EA117,Vauxhall Gardens Estate,304866
EA104,Springfield Estate,205142
EA121,Weir Estate,46032
EA122,Wellington Mills Estate,37163
EA093,Rosendale Gardens Estate,55998
EA036,Cowley Estate,139809
EA111,Tanswell Estate,81033
EA069,Leigham Court Estate,175220
EA035,Cotton Gardens Estate,72733
EA058,Hope Park Estate,13930
EA068,Larkhall Estate,78970
ENBR2,Br2 Non-Estate,53176
ENNL7,NI7 Non-Estate,107430
EA046,Foxley Road Estate,2783
EB069,Kingscroft Estate,3699
EA020,Canterbury Gardens Estate,69612
