ID,Block_Name,Block_RV,Estate_ID
"SWKB0001","Abbeyfield Road 103-113(O)",30,"SWKE0267"
"SWKB0002","Abbeyfield Road 96; Rotherhithe New Road 142-150(E)",30,"SWKE0267"
"SWKB0003","Abbeyfield Road 98-100(E); Rotherhithe New Road 134-140(E)",30,"SWKE0267"
"SWKB0004","Aberfeldy House, John Ruskin Street 1-155(C)",1055,"SWKE0041"
"SWKB0005","Abinger House, Great Dover Street 17-24(C)",52,"SWKE0329"
"SWKB0006","Abinger House, Great Dover Street 1-8(C)",52,"SWKE0329"
"SWKB0007","Abinger House,Great Dover Street 9-16(C)",48,"SWKE0329"
"SWKB0008","Adams Gardens Estate 121-145(C); Tunnel Road 1",168,"SWKE0003"
"SWKB0009","Adams Gardens Estate 44-87(C)",265,"SWKE0003"
"SWKB0010","Adams Gardens Estate 88-120(C)",194,"SWKE0003"
"SWKB0011","Addy House, Rotherhithe New Road 1-96(C)",545,"SWKE0004"
"SWKB0012","Adron House, Millender Walk 1-16(C)",104,"SWKE0301"
"SWKB0013","Adys Road 1-11(O)",38,"SWKE0005"
"SWKB0014","Aird House, Rockingham Street 1-20(C)",105,"SWKE0288"
"SWKB0015","Albert Barnes House, New Kent Road 1-99(C)",515,"SWKE0007"
"SWKB0016","Albert Starr House, Bush Road 1-35(C)",224,"SWKE0166"
"SWKB0017","Albert Westcott House, Alberta Street 1-48(C)",239,"SWKE0008"
"SWKB0018","Alberta Street 25-41(O)",54,"SWKE0008"
"SWKB0019","Alberta Street 43-47(O)",17,"SWKE0008"
"SWKB0020","Alberta Street 8-24(E)",54,"SWKE0008"
"SWKB0021","Albion Estate, Swan Road 1-14(C)",84,"SWKE0009"
"SWKB0022","Albion Estate, Swan Road 15-69(C)",356,"SWKE0009"
"SWKB0023","Albury Buildings, Boyfield Street 1-24(C)",110,"SWKE0205"
"SWKB0024","Alder House, Alder Close 1-18(C)",126,"SWKE0010"
"SWKB0025","Algar House, Webber Row 1-15(C)",81,"SWKE0345"
"SWKB0026","Algar House, Webber Row 16-25(C)",65,"SWKE0345"
"SWKB0027","Allport House, Champion Park 1-24(C)",144,"SWKE0064"
"SWKB0028","Alscot Way 24-34(E)",28,"SWKE0299"
"SWKB0029","Alscot Way 36-46(E)",28,"SWKE0299"
"SWKB0030","Alscot Way 48-78(E) ; Curtis Way 40-54(E) ;Setchell Way 59-73(O)",147,"SWKE0299"
"SWKB0031","Ambleside Point, Patterdale Road 1-72(C)",434,"SWKE0340"
"SWKB0032","Ambrose Street 2-6(E); Southwark Park Road 252-256(E)",33,"SWKE0227"
"SWKB0033","Amery House, Kinglake Street 1-58(C)",317,"SWKE0012"
"SWKB0034","Amigo House, Morley Street 1-30(C); Amigo & Dodson Estate Tra",196,"SWKE0013"
"SWKB0035","Amina Way 1-31(O)",96,"SWKE0291"
"SWKB0036","Amina Way 2-70(E)",170,"SWKE0291"
"SWKB0037","Amina Way 33-59(O) *Excluding 49 & 55",72,"SWKE0291"
"SWKB0038","Amina Way 61-87(O) *Excluding 65 & 71",72,"SWKE0291"
"SWKB0039","Amina Way 72-144(E)",276,"SWKE0291"
"SWKB0040","Amina Way 89-119(O)",96,"SWKE0291"
"SWKB0041","Amstel Court, Garnies Close 1-6(C)",55,"SWKE0254"
"SWKB0042","Amstel Court, Garnies Close 7-16(C)",77,"SWKE0254"
"SWKB0043","Andoversford Court 1-88(C)",502,"SWKE0157"
"SWKB0044","Angelina House, Goldsmith Road 1-39(C)",266,"SWKE0259"
"SWKB0045","Applegarth House, Bird In Bush Road 1-30(C)",167,"SWKE0145"
"SWKB0046","Applegarth House, Nelson Sq 157-209(C) & 159A Tra",322,"SWKE0014"
"SWKB0047","Appleshaw House, Champion Hill, 1-44(C) ; Appleshaw House Tra Hall",264,"SWKE0063"
"SWKB0048","Arica House, Slippers Place 1-88(C)",507,"SWKE0303"
"SWKB0049","Arnhem Way 1-11(O)",37,"SWKE0122"
"SWKB0050","Arnhem Way 2-6(E)",17,"SWKE0122"
"SWKB0051","Arnhem Way 8-10(E)",10,"SWKE0122"
"SWKB0052","Arnold Dobson House, St Marys Road 1-6(C)",36,"SWKE0015"
"SWKB0053","Arnold Estate, Druid Street 163A & 142A,142-179(C); Sweeney Crescent 6-8(E)",246,"SWKE0016"
"SWKB0054","Arnold Estate, Druid Street 184A & 184B, 180-220(C)",237,"SWKE0016"
"SWKB0055","Arnold Estate, Druid Street 1A & 1-30(C)",184,"SWKE0016"
"SWKB0056","Arnold Estate, Druid Street 221-248(C)",161,"SWKE0016"
"SWKB0057","Arnold Estate, Druid Street 249-262(C)",82,"SWKE0016"
"SWKB0058","Arnold Estate, Druid Street 263-276(C)",82,"SWKE0016"
"SWKB0059","Arnold Estate, Druid Street 277-295(C)",118,"SWKE0016"
"SWKB0060","Arnold Estate, Druid Street 296-301(C); Tanner Street 116-118(E)",44,"SWKE0016"
"SWKB0061","Arnold Estate, Druid Street 302-319(C)",114,"SWKE0016"
"SWKB0062","Arnold Estate, Druid Street 31-65(C)",171,"SWKE0016"
"SWKB0063","Arnold Estate, Druid Street 66-80(C)",89,"SWKE0016"
"SWKB0064","Arnold Estate, Druid Street 81-141(C)",373,"SWKE0016"
"SWKB0065","Arnold House, Doddington Grove 1-31(C)",180,"SWKE0113"
"SWKB0066","Arnold House, Doddington Grove 32-39(C)",63,"SWKE0113"
"SWKB0067","Arnot House, Comber Grove 1-24(C)",138,"SWKE0084"
"SWKB0068","Arnould Avenue 1-10(C) ; Monclar Road 21-33(C)",152,"SWKE0079"
"SWKB0069","Arnould Avenue 11-20(C) ; Wanley Road 27-38(C)",146,"SWKE0079"
"SWKB0070","Arrol House, Rockingham Street 1-15(C)",80,"SWKE0288"
"SWKB0071","Arrol House, Rockingham Street 16-38(C)",154,"SWKE0288"
"SWKB0072","Arrol House, Rockingham Street 39-57(C)",124,"SWKE0288"
"SWKB0073","Arrol House, Rockingham Street 58-80(C)",153,"SWKE0288"
"SWKB0074","Ash House, Fort Road 1-20(C)",141,"SWKE0218"
"SWKB0075","Ashdene, Carlton Grove 14-27(C); Acorn Parade 1-6(C)",100,"SWKE0002"
"SWKB0076","Astley House, Rowcross Street, 1-90(C), Messroom & Cash Office",564,"SWKE0017"
"SWKB0077","Asylum Road 103-147(O)",108,"SWKE0045"
"SWKB0078","Athenlay Road 20-26(E), 20A-26A(E)",51,"SWKE0018"
"SWKB0079","Atkinson House, Barlow Street 1-29(C)",150,"SWKE0026"
"SWKB0080","Attilburgh House, Abbey Street 1-42(C)",252,"SWKE0316"
"SWKB0081","Attleborough Court, Sydenham Hill 1-57(C)",383,"SWKE0328"
"SWKB0082","Atwood House, Bowen Drive 1-28(C)",164,"SWKE0201"
"SWKB0083","Avery House, Redcross Way 1-4(C); Redcross Way 74-80(E)",43,"SWKE0230"
"SWKB0084","Aylesbury House, Friary Road 1-46(C), 7A, 16A, 30A & 39A",319,"SWKE0145"
"SWKB0085","Aylesford House, Long Lane 1-45(C)",265,"SWKE0329"
"SWKB0086","Aylton Estate, Renforth Street 1-64(C)",361,"SWKE0022"
"SWKB0087","Aylwin Estate, Grange Walk 1-14(C)",76,"SWKE0023"
"SWKB0088","Aylwin Estate, Grange Walk 15-28(C)",76,"SWKE0023"
"SWKB0089","Ayres Street 11-29(O)",62,"SWKE0024"
"SWKB0090","Babington House, Redcross Way 1-20(C)",134,"SWKE0230"
"SWKB0091","Badminton House, Quorn Road 1-12(C) ;East Dulwich Estate Shops, Dog Kennel Hill 4-6(C)",91,"SWKE0120"
