Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_TV_Aerial,Block_Repairs,Block_Estate_Lighting,Block_Security_Services,Block_Lift_Maintenance,Block_Heating_And_Hotwater,Block_Ground_Rent,Block_Building_Insurance,Block_Door_Entry,Block_Care_And_Upkeep,Estate_Care_And_Upkeep,Estate_Grounds_Maintenance,Estate_Lighting,Estate_Repairs_And_Maintenance
2022,2023,"SWKE0267","SWKB0001","685.96","0.00","0.00","0.00","0.00","0.00","4620.24","40.00","1378.56","0.00","0.00","2415.03","464.80","246.56","316.96"
2022,2023,"SWKE0267","SWKB0002","532.02","0.00","0.00","0.00","0.00","0.00","3640.62","30.00","1033.92","0.00","0.00","2415.03","464.80","246.56","316.96"
2022,2023,"SWKE0267","SWKB0003","167.19","0.00","0.00","0.00","0.00","0.00","1112.07","10.00","344.64","0.00","0.00","2415.03","464.80","246.56","316.96"
2022,2023,"SWKE0041","SWKB0004","15565.05","0.00","12226.23","14282.85","0.00","5872.32","84753.42","450.00","15537.69","1635.93","10656.96","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0329","SWKB0005","607.74","0.00","2212.05","445.14","0.00","373.41","0.00","30.00","1266.69","37.35","983.01","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0329","SWKB0006","446.21","0.00","858.31","321.49","0.00","315.62","0.00","20.00","849.88","858.18","709.95","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0329","SWKB0007","505.06","0.00","1262.73","425.64","0.00","488.79","0.00","30.00","1116.93","38.23","1000.82","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0003","SWKB0008","1230.29","0.00","3864.37","646.49","0.00","0.00","0.00","90.00","3338.54","0.00","1822.89","3443.32","2742.54","806.40","1154.23"
2022,2023,"SWKE0003","SWKB0009","1682.63","0.00","3635.11","545.71","0.00","0.00","0.00","170.00","6146.06","0.00","2298.73","3443.32","2742.54","806.40","1154.23"
2022,2023,"SWKE0003","SWKB0010","562.94","0.00","1314.53","369.16","0.00","0.00","0.00","50.00","1887.90","0.00","742.63","3443.32","2742.54","806.40","1154.23"
2022,2023,"SWKE0004","SWKB0011","3704.16","0.00","7055.97","3778.45","0.00","3443.26","0.00","220.00","7791.57","4199.88","5445.92","3485.95","1289.82","356.20","193.92"
2022,2023,"SWKE0301","SWKB0012","944.65","0.00","620.60","516.80","0.00","618.34","4700.61","30.00","1025.63","0.00","1098.80","12966.55","3369.10","918.19","635.55"
2022,2023,"SWKE0005","SWKB0013","432.65","0.00","378.08","1099.73","0.00","0.00","0.00","40.00","1454.83","163.52","260.86","260.86","708.59","0.00","0.00"
2022,2023,"SWKE0288","SWKB0014","2439.48","0.00","847.50","16547.03","0.00","773.44","0.00","260.00","2645.25","0.00","2546.24","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0007","SWKB0015","9070.40","0.00","14402.67","3194.44","0.00","4875.00","24128.61","280.00","10099.72","21119.86","8330.25","1242.58","2917.33","312.07","80.98"
2022,2023,"SWKE0166","SWKB0016","1959.62","0.00","5358.12","1676.70","0.00","1061.22","0.00","100.00","4243.98","0.00","3334.26","9495.18","2180.27","503.11","261.21"
2022,2023,"SWKE0008","SWKB0017","3543.40","0.00","3381.13","4893.96","0.00","3615.56","11975.47","170.00","5858.88","558.28","2962.25","3589.01","3127.38","2324.56","3032.25"
2022,2023,"SWKE0008","SWKB0018","440.09","0.00","269.95","141.60","0.00","0.00","0.00","50.00","1861.43","0.00","1355.60","3589.01","3127.38","2324.56","3032.25"
2022,2023,"SWKE0008","SWKB0019","642.68","0.00","38.65","4547.05","0.00","0.00","0.00","20.00","682.31","0.00","824.07","3589.01","3127.38","2324.56","3032.25"
2022,2023,"SWKE0008","SWKB0020","436.27","0.00","389.73","51.36","0.00","0.00","1485.66","20.00","1100.21","0.00","872.28","3589.01","3127.38","2324.56","3032.25"
2022,2023,"SWKE0009","SWKB0021","534.73","0.00","871.33","68.09","0.00","0.00","0.00","40.00","1443.53","0.00","1199.13","4929.43","2608.19","893.25","395.69"
2022,2023,"SWKE0009","SWKB0022","2088.33","0.00","3415.85","655.85","0.00","0.00","0.00","150.00","5893.83","0.00","3856.30","4929.43","2608.19","893.25","395.69"
2022,2023,"SWKE0205","SWKB0023","948.96","0.00","1065.88","1268.52","0.00","0.00","0.00","70.00","2737.84","0.00","2171.36","5394.51","4703.63","599.78","95.62"
2022,2023,"SWKE0010","SWKB0024","4.18","0.00","1074.74","127.48","0.00","0.00","0.00","50.00","2152.31","135.09","2846.75","7.03","1339.64","369.90","0.00"
2022,2023,"SWKE0345","SWKB0025","0.00","0.00","2280.37","522.71","0.00","0.00","0.00","50.00","1885.34","0.00","1367.31","0.00","4652.46","495.01","532.60"
2022,2023,"SWKE0345","SWKB0026","0.00","0.00","2013.74","764.24","0.00","0.00","0.00","60.00","2544.22","0.00","1855.66","0.00","4652.46","495.01","532.60"
2022,2023,"SWKE0064","SWKB0027","2269.44","0.00","3126.63","4301.00","0.00","1288.85","0.00","100.00","4000.37","0.00","2979.77","1137.76","5721.99","1719.80","3636.63"
2022,2023,"SWKE0299","SWKB0028","684.93","0.00","0.00","142.60","0.00","0.00","3539.48","30.00","1029.10","179.88","1370.96","3953.86","2935.48","5156.26","898.71"
2022,2023,"SWKE0299","SWKB0029","448.03","0.00","105.56","109.80","0.00","0.00","2206.00","20.00","684.46","115.64","881.33","3953.86","2935.48","5156.26","898.71"
2022,2023,"SWKE0299","SWKB0030","1493.88","0.00","391.68","80.84","0.00","0.00","9684.88","80.00","2737.84","0.00","536.40","3953.86","2935.48","5156.26","898.71"
2022,2023,"SWKE0340","SWKB0031","841.77","0.00","514.12","510.54","1710.28","980.82","0.00","50.00","2033.56","499.62","1018.00","10799.97","2194.90","856.94","928.95"
2022,2023,"SWKE0227","SWKB0032","673.40","0.00","47.39","4242.21","0.00","0.00","0.00","30.00","1030.26","0.00","277.11","20224.97","9128.09","4000.84","2920.21"
2022,2023,"SWKE0012","SWKB0033","1485.69","0.00","1002.36","836.53","0.00","0.00","0.00","190.00","7013.70","0.00","3974.98","2000.24","0.00","0.00","28.72"
2022,2023,"SWKE0013","SWKB0034","1930.65","0.00","3002.00","1665.28","0.00","1297.79","0.00","120.00","5016.27","359.42","3799.65","1546.19","2345.36","274.12","0.00"
2022,2023,"SWKE0291","SWKB0035","1930.80","0.00","798.12","227.03","0.00","0.00","11708.13","80.00","2747.88","0.00","819.33","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0291","SWKB0036","2594.12","0.00","1230.40","375.54","0.00","0.00","14610.36","140.00","4754.16","0.00","1406.72","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0291","SWKB0037","1190.30","0.00","285.73","138.74","0.00","0.00","7421.89","50.00","1717.92","0.00","500.70","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0291","SWKB0038","677.68","0.00","170.51","79.88","0.00","0.00","4148.78","30.00","1031.28","0.00","288.28","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0291","SWKB0039","4281.37","0.00","3941.65","472.64","0.00","0.00","24995.48","150.00","5266.54","0.00","1883.09","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0291","SWKB0040","1895.24","0.00","586.40","223.34","0.00","0.00","11551.35","80.00","2826.63","0.00","806.02","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0254","SWKB0041","1494.33","0.00","545.25","590.79","0.00","0.00","10600.41","30.00","1043.85","98.13","1163.16","28014.15","12841.99","3467.67","2878.73"
2022,2023,"SWKE0254","SWKB0042","1846.89","0.00","1693.12","665.60","0.00","0.00","12522.92","40.00","1457.61","65.42","1012.16","28014.15","12841.99","3467.67","2878.73"
2022,2023,"SWKE0157","SWKB0043","0.00","0.00","5135.70","5340.14","0.00","2928.28","0.00","190.00","6440.81","13325.46","9526.60","0.00","12815.76","10556.31","1043.51"
2022,2023,"SWKE0259","SWKB0044","1495.95","0.00","2230.05","1236.05","0.00","2035.46","0.00","100.00","3362.70","1171.36","2853.72","7056.09","10017.05","3543.05","651.89"
2022,2023,"SWKE0145","SWKB0045","819.35","0.00","431.29","909.83","0.00","956.39","0.00","60.00","2538.80","213.55","1980.00","28851.81","12285.67","6990.17","3304.06"
2022,2023,"SWKE0014","SWKB0046","0.00","0.00","3628.62","4123.63","0.00","1965.69","0.00","140.00","6689.53","2024.70","7935.29","0.00","545.45","1395.87","0.00"
2022,2023,"SWKE0063","SWKB0047","4230.40","0.00","15078.48","2971.40","0.00","1768.00","0.00","220.00","9557.52","0.00","3934.08","9158.60","10675.16","1325.42","4851.39"
2022,2023,"SWKE0303","SWKB0048","9123.30","0.00","18851.80","7034.36","0.00","3592.11","36175.35","270.00","11012.26","891.00","9137.89","3913.26","4496.29","2112.97","4221.99"
2022,2023,"SWKE0122","SWKB0049","179.87","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.00","0.00","0.00","20294.21","4938.76","614.23","5108.91"
2022,2023,"SWKE0122","SWKB0050","113.59","0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.00","0.00","0.00","20294.21","4938.76","614.23","5108.91"
2022,2023,"SWKE0122","SWKB0051","47.34","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.00","0.00","0.00","20294.21","4938.76","614.23","5108.91"
2022,2023,"SWKE0015","SWKB0052","363.68","0.00","158.04","305.76","0.00","0.00","0.00","30.00","1116.93","0.00","305.36","305.36","1249.98","195.32","0.00"
2022,2023,"SWKE0016","SWKB0053","540.66","0.00","725.23","715.34","0.00","0.00","0.00","70.00","2488.40","218.44","166.38","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0054","1120.20","0.00","3101.03","1197.45","0.00","0.00","0.00","120.00","4779.98","221.14","251.34","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0055","777.72","0.00","1239.66","1161.10","0.00","0.00","0.00","80.00","2816.21","295.75","1148.32","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0056","157.21","0.00","186.98","185.56","0.00","0.00","0.00","20.00","553.36","27.48","386.18","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0057","82.74","0.00","24.38","64.53","0.00","0.00","0.00","10.00","338.99","32.16","227.84","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0058","394.56","0.00","235.50","465.92","0.00","0.00","0.00","40.00","1610.01","103.56","949.33","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0059","1633.14","0.00","5601.76","1342.92","0.00","0.00","0.00","120.00","4685.36","263.14","2670.64","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0060","641.42","0.00","3217.78","415.46","0.00","0.00","0.00","30.00","1195.12","98.12","1068.95","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0061","861.93","0.00","957.40","515.66","0.00","1392.32","0.00","60.00","2977.29","204.42","1502.29","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0062","1032.55","0.00","2467.22","1336.76","0.00","0.00","0.00","90.00","3084.28","189.68","2179.72","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0063","592.52","0.00","88.83","896.43","0.00","0.00","0.00","60.00","2077.77","173.72","1781.55","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0016","SWKB0064","1849.26","0.00","2116.97","1724.08","0.00","0.00","0.00","170.00","6349.21","517.49","5273.28","3397.41","5698.72","2297.91","1161.80"
2022,2023,"SWKE0113","SWKB0065","1101.79","0.00","1104.61","606.54","0.00","0.00","0.00","90.00","3236.28","2084.74","2411.45","9091.91","5982.86","2399.88","1941.64"
2022,2023,"SWKE0113","SWKB0066","273.19","0.00","0.00","224.51","0.00","0.00","0.00","30.00","1111.51","0.00","861.57","9091.91","5982.86","2399.88","1941.64"
2022,2023,"SWKE0084","SWKB0067","1315.02","0.00","3281.52","1947.00","0.00","1874.94","0.00","60.00","2533.38","181.62","2280.72","9947.29","6767.48","5024.55","1002.80"
2022,2023,"SWKE0079","SWKB0068","1946.29","0.00","4917.45","1272.03","0.00","0.00","0.00","160.00","5657.68","0.00","2027.71","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0069","1652.67","0.00","6671.43","1638.18","0.00","0.00","0.00","80.00","3089.88","0.00","1898.01","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0288","SWKB0070","1425.15","0.00","101.51","9983.58","0.00","0.00","0.00","50.00","1800.79","0.00","1657.18","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0288","SWKB0071","2827.36","0.00","2120.94","16927.34","0.00","0.00","0.00","100.00","4088.80","0.00","3447.30","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0288","SWKB0072","1107.81","0.00","578.33","6654.49","0.00","0.00","0.00","80.00","1700.10","0.00","1436.84","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0288","SWKB0073","1777.21","0.00","1027.02","11111.81","0.00","0.00","0.00","60.00","2472.05","0.00","2125.89","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0218","SWKB0074","1222.75","0.00","3876.56","417.76","0.00","0.00","0.00","80.00","2830.89","0.00","2452.00","19320.99","3914.18","2309.77","420.49"
2022,2023,"SWKE0002","SWKB0075","409.20","0.00","761.25","32.08","0.00","0.00","1286.09","20.00","766.87","0.00","661.32","3727.56","1029.04","898.67","507.13"
2022,2023,"SWKE0017","SWKB0076","4053.60","0.00","7323.84","4897.92","0.00","6846.00","0.00","240.00","8135.76","784.80","4966.32","11038.97","3490.54","1723.70","13544.02"
2022,2023,"SWKE0045","SWKB0077","1968.26","0.00","1754.13","21.07","0.00","0.00","11617.55","70.00","2412.48","0.00","1562.12","21208.02","7811.54","2210.07","2040.28"
2022,2023,"SWKE0018","SWKB0078","512.99","0.00","576.21","358.65","0.00","0.00","0.00","50.00","1800.14","0.00","414.26","443.80","1492.09","44.65","0.00"
2022,2023,"SWKE0026","SWKB0079","2683.39","0.00","5751.98","759.21","0.00","0.00","13796.78","80.00","2801.64","0.00","2393.85","6995.63","3868.29","1062.43","729.71"
2022,2023,"SWKE0316","SWKB0080","2292.45","0.00","3184.20","1992.45","0.00","3730.05","0.00","340.00","6333.45","0.00","4415.70","29606.81","8008.07","3575.40","1671.91"
2022,2023,"SWKE0328","SWKB0081","12284.76","0.00","6512.26","5537.42","0.00","9237.32","59412.07","310.00","14069.09","216.58","8255.79","16278.41","33261.27","7166.77","1330.05"
2022,2023,"SWKE0201","SWKB0082","2195.00","0.00","3289.02","983.62","0.00","4095.36","0.00","140.00","5612.30","419.70","3679.51","36636.71","15477.74","7328.70","4457.84"
2022,2023,"SWKE0230","SWKB0083","257.96","0.00","55.64","238.70","0.00","0.00","0.00","20.00","855.30","0.00","969.92","3113.57","3347.79","215.28","93.35"
2022,2023,"SWKE0145","SWKB0084","1168.24","0.00","1484.26","1177.62","0.00","0.00","0.00","110.00","4666.21","0.00","2156.92","28851.81","12285.67","6990.17","3304.06"
2022,2023,"SWKE0329","SWKB0085","3398.33","0.00","3986.04","1682.72","0.00","0.00","0.00","220.00","8894.48","7614.01","6439.21","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0022","SWKB0086","2171.51","0.00","8411.56","1094.24","0.00","0.00","0.00","150.00","5468.57","0.00","2875.26","1943.04","2061.38","782.42","759.23"
2022,2023,"SWKE0023","SWKB0087","806.92","0.00","2696.72","187.80","0.00","0.00","0.00","40.00","1367.26","0.00","1047.06","1757.02","2044.90","738.20","2889.82"
2022,2023,"SWKE0023","SWKB0088","1152.06","0.00","1722.51","976.52","0.00","0.00","0.00","70.00","2401.18","0.00","1760.97","1757.02","2044.90","738.20","2889.82"
