ID,Estate_Name,Estate_RV
"SWKE0001","Abbeyfield Estate",1200
"SWKE0002","Acorn Estate",1583
"SWKE0003","Adams Gardens Estate",627
"SWKE0004","Addy House",545
"SWKE0005","Adys Road 001-011(O)",38
"SWKE0006","Ainsty Estate",742
"SWKE0007","Albert Barnes House",515
"SWKE0008","Alberta Estate",2304
"SWKE0009","Albion Estate",440
"SWKE0010","Alder House Estate",360
"SWKE0011","Alvey Estate",1145
"SWKE0012","Amery House",317
"SWKE0013","Amigo House",196
"SWKE0014","Applegarth House 157-209(C) & 159A",322
"SWKE0015","Arnold Dobson House",36
"SWKE0016","Arnold Estate",1905
"SWKE0017","Astley Estate",1912
"SWKE0018","Athenlay Road 020-026(E), 020A-026A(E)",51
"SWKE0019","Atwell Estate",1118
"SWKE0020","Avondale Estate",173
"SWKE0021","Aylesbury Estate",12008
"SWKE0022","Aylton Estate",473
"SWKE0023","Aylwin Estate",152
"SWKE0024","Ayres Street 011-029(O)",62
"SWKE0025","Balman House",323
"SWKE0026","Barlow Estate",1131
"SWKE0027","Barset Estate",1940
"SWKE0028","Barton Close & Beer And Wine Trade Homes",270
"SWKE0029","Beacon House",60
"SWKE0030","Bells Gardens Estate",2530
"SWKE0031","Bermondsey Wall East 182-186 (E)",17
"SWKE0032","Blick House",180
"SWKE0033","Bonamy Estate",1963
"SWKE0034","Bonsor Street 12-17(C); Rainbow Street 1-11(O)",84
"SWKE0035","Borough Road Estate",314
"SWKE0036","Bowen Drive 070-100(E)",113
"SWKE0037","Bowen Drive 106-120(E)",40
"SWKE0038","Bowen Drive 124-138(E)",40
"SWKE0039","Bradley House",445
"SWKE0040","Braganza Street Estate",42
"SWKE0041","Brandon Estate",13215
"SWKE0042","Brayards Estate",493
"SWKE0043","Brayards Road 075-081(O), 079A-081A(O)",36
"SWKE0044","Brenchley Gardens",612
"SWKE0045","Brimmington Estate",2776
"SWKE0046","Bromar Road 014-022(E) & 022A",36
"SWKE0047","Brookstone Court",384
"SWKE0048","Browning Estate",2574
"SWKE0049","Brunel Road 001-031(O)",99
"SWKE0050","Burton House And Morriss House Estate",352
"SWKE0051","Calypso Crescent 006-012(E)",60
"SWKE0052","Calypso Crescent 4; Chandler Way 105-109(O)",60
"SWKE0053","Camberwell Grove 032",27
"SWKE0054","Camberwell Grove 094",48
"SWKE0055","Camberwell Grove Estate",319
"SWKE0056","Canada Estate",1557
"SWKE0057","Carlton Grove",436
"SWKE0058","Caroline Gardens",891
"SWKE0059","Carterscroft House And Cassinghurst House",105
"SWKE0060","Castlemead",1112
"SWKE0061","Cathay House",144
"SWKE0062","Champion Hill 031",47
"SWKE0063","Champion Hill Estate",1044
"SWKE0064","Champion Park Estate",320
"SWKE0065","Chandler Way 56-58(E); Dorton Close 1-8(C)",100
"SWKE0066","Chandler Way 69-73(O); Savannah Close 1",72
"SWKE0067","Charles Coveney Road 018",42
"SWKE0068","Charles Mackenzie Estate",280
"SWKE0069","Chatham Street 067A-067F(C)",33
"SWKE0070","Chatham Street 083A-083F(C)",36
"SWKE0071","Chatham Street 089A-089F(C)",33
"SWKE0072","Chatham Street 133A-133F(C)",33
"SWKE0073","Chatham Street 145A-145F(C)",33
"SWKE0074","Chatham Street 151A-151F(C)",31
"SWKE0075","Chatham Street 157A-157F(C)",33
"SWKE0076","Cherry Garden House",97
"SWKE0077","Cherry Garden Street 38-66(E); West Lane 7-33(O)",171
"SWKE0078","Cherry Garden Street 68-142(E); West Lane 37-77(O)",336
"SWKE0079","Cleve Hall Estate",985
"SWKE0080","Clifton Crescent 020-034(C)",90
"SWKE0081","Clifton Crescent 043-050(C)",46
"SWKE0082","Clifton Estate",1929
"SWKE0083","College Road Estate",273
"SWKE0084","Comber Estate",3312
"SWKE0085","Commercial Way 60A; Kelly Avenue 1-3(O)",57
"SWKE0086","Comus House",460
"SWKE0087","Congreve Estate",1675
"SWKE0088","Consort Estate",2722
"SWKE0089","Consort Road 098-102(E), 098A-102A(E)",36
"SWKE0090","Cooks Road 141-143(O)",72
"SWKE0091","Coopers Road Estate",261
"SWKE0092","Cossall Estate",2253
"SWKE0093","Cotham Street 003-005(O)",18
"SWKE0094","Countisbury House",256
"SWKE0095","Courthope House",144
"SWKE0096","Coxson Way",160
"SWKE0097","Cragie House",148
"SWKE0098","Cranbourne House",137
"SWKE0099","Crane Street 015",42
"SWKE0100","Crawford Estate",2496
"SWKE0101","Crawford Road 025-055(O)",96
"SWKE0102","Crawthew Grove 045-055(O)",35
"SWKE0103","Creasy Estate",240
"SWKE0104","Crofton Road 059-075(O)",62
"SWKE0105","Croxted Road Estate",1141
"SWKE0106","Crystal Palace Road 146-172(E)",114
"SWKE0107","Darwin Street 3A-53A(O); Mason Street 3B-53B(O)",286
"SWKE0108","Delaford Road 001-043(O)",132
"SWKE0109","Denmark Hill Estate",3733
"SWKE0110","Devon Mansions",1841
"SWKE0111","D'Eynsford Estate",2148
"SWKE0112","Dickens Estate",4691
"SWKE0113","Doddington Grove Estate",2026
"SWKE0114","Dodson Estate",769
"SWKE0115","Downtown Estate North",819
"SWKE0116","Downtown Estate South",1082
"SWKE0117","Dragon Road 14-20(E); St Georges Way 86-96(E)",168
"SWKE0118","Dragon Road 2-8(E); St Georges Way 68-78(E)",168
"SWKE0119","Draper Estate",1428
"SWKE0120","East Dulwich Estate",4899
"SWKE0121","East Dulwich Grove 047-057(O)",76
"SWKE0122","East Dulwich Grove Estate",811
"SWKE0123","East Dulwich Road",376
