Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_Administration_Charge_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Repairs,Block_Repairs_Unit,Block_Estate_Lighting,Block_Estate_Lighting_Unit,Block_Security_Services,Block_Security_Services_Unit,Block_Lift_Maintenance,Block_Lift_Maintenance_Unit,Block_Heating_And_Hotwater,Block_Heating_And_Hotwater_Unit,Block_Ground_Rent,Block_Ground_Rent_Unit,Block_Building_Insurance,Block_Building_Insurance_Unit,Block_Door_Entry,Block_Door_Entry_Unit,Block_Care_And_Upkeep,Block_Care_And_Upkeep_Unit,Estate_Care_And_Upkeep,Estate_Care_And_Upkeep_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Lighting,Estate_Lighting_Unit,Estate_Repairs_And_Maintenance,Estate_Repairs_And_Maintenance_Unit
2022,2023,"SWKE0267","SWKB0001","685.96","22.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4620.24","154.01","40.00","1.33","1378.56","45.95","0.00","0.00","0.00","0.00","2415.03","2.07","464.80","0.40","246.56","0.21","316.96","0.27"
2022,2023,"SWKE0267","SWKB0002","532.02","17.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3640.62","121.35","30.00","1.00","1033.92","34.46","0.00","0.00","0.00","0.00","2415.03","2.07","464.80","0.40","246.56","0.21","316.96","0.27"
2022,2023,"SWKE0267","SWKB0003","167.19","5.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1112.07","37.07","10.00","0.33","344.64","11.49","0.00","0.00","0.00","0.00","2415.03","2.07","464.80","0.40","246.56","0.21","316.96","0.27"
2022,2023,"SWKE0041","SWKB0004","15565.05","14.75","0.00","0.00","12226.23","11.59","14282.85","13.54","0.00","0.00","5872.32","5.57","84753.42","80.33","450.00","0.43","15537.69","14.73","1635.93","1.55","10656.96","10.10","66294.63","5.02","43369.16","3.28","23493.13","1.78","6607.17","0.50"
2022,2023,"SWKE0329","SWKB0005","607.74","11.69","0.00","0.00","2212.05","42.54","445.14","8.56","0.00","0.00","373.41","7.18","0.00","0.00","30.00","0.58","1266.69","24.36","37.35","0.72","983.01","18.90","67056.41","7.86","57695.83","6.77","7120.45","0.84","2827.45","0.33"
2022,2023,"SWKE0329","SWKB0006","446.21","8.58","0.00","0.00","858.31","16.51","321.49","6.18","0.00","0.00","315.62","6.07","0.00","0.00","20.00","0.38","849.88","16.34","858.18","16.50","709.95","13.65","67056.41","7.86","57695.83","6.77","7120.45","0.84","2827.45","0.33"
2022,2023,"SWKE0329","SWKB0007","505.06","10.52","0.00","0.00","1262.73","26.31","425.64","8.87","0.00","0.00","488.79","10.18","0.00","0.00","30.00","0.63","1116.93","23.27","38.23","0.80","1000.82","20.85","67056.41","7.86","57695.83","6.77","7120.45","0.84","2827.45","0.33"
2022,2023,"SWKE0003","SWKB0008","1230.29","7.32","0.00","0.00","3864.37","23.00","646.49","3.85","0.00","0.00","0.00","0.00","0.00","0.00","90.00","0.54","3338.54","19.87","0.00","0.00","1822.89","10.85","3443.32","5.49","2742.54","4.37","806.40","1.29","1154.23","1.84"
2022,2023,"SWKE0003","SWKB0009","1682.63","6.35","0.00","0.00","3635.11","13.72","545.71","2.06","0.00","0.00","0.00","0.00","0.00","0.00","170.00","0.64","6146.06","23.19","0.00","0.00","2298.73","8.67","3443.32","5.49","2742.54","4.37","806.40","1.29","1154.23","1.84"
2022,2023,"SWKE0003","SWKB0010","562.94","2.90","0.00","0.00","1314.53","6.78","369.16","1.90","0.00","0.00","0.00","0.00","0.00","0.00","50.00","0.26","1887.90","9.73","0.00","0.00","742.63","3.83","3443.32","5.49","2742.54","4.37","806.40","1.29","1154.23","1.84"
2022,2023,"SWKE0004","SWKB0011","3704.16","6.80","0.00","0.00","7055.97","12.95","3778.45","6.93","0.00","0.00","3443.26","6.32","0.00","0.00","220.00","0.40","7791.57","14.30","4199.88","7.71","5445.92","9.99","3485.95","6.40","1289.82","2.37","356.20","0.65","193.92","0.36"
2022,2023,"SWKE0301","SWKB0012","944.65","9.08","0.00","0.00","620.60","5.97","516.80","4.97","0.00","0.00","618.34","5.95","4700.61","45.20","30.00","0.29","1025.63","9.86","0.00","0.00","1098.80","10.57","12966.55","7.53","3369.10","1.96","918.19","0.53","635.55","0.37"
2022,2023,"SWKE0005","SWKB0013","432.65","11.39","0.00","0.00","378.08","9.95","1099.73","28.94","0.00","0.00","0.00","0.00","0.00","0.00","40.00","1.05","1454.83","38.29","163.52","4.30","260.86","6.86","260.86","6.86","708.59","18.65","0.00","0.00","0.00","0.00"
2022,2023,"SWKE0288","SWKB0014","2439.48","23.23","0.00","0.00","847.50","8.07","16547.03","157.59","0.00","0.00","773.44","7.37","0.00","0.00","260.00","2.48","2645.25","25.19","0.00","0.00","2546.24","24.25","36388.87","5.99","15134.54","2.49","3958.58","0.65","5509.76","0.91"
2022,2023,"SWKE0007","SWKB0015","9070.40","17.61","0.00","0.00","14402.67","27.97","3194.44","6.20","0.00","0.00","4875.00","9.47","24128.61","46.85","280.00","0.54","10099.72","19.61","21119.86","41.01","8330.25","16.18","1242.58","2.41","2917.33","5.66","312.07","0.61","80.98","0.16"
2022,2023,"SWKE0166","SWKB0016","1959.62","8.75","0.00","0.00","5358.12","23.92","1676.70","7.49","0.00","0.00","1061.22","4.74","0.00","0.00","100.00","0.45","4243.98","18.95","0.00","0.00","3334.26","14.89","9495.18","14.86","2180.27","3.41","503.11","0.79","261.21","0.41"
