Year_Start,Year_End,Estate_ID,Estate_Name,Estate_RV,Block_ID,Block_Name,Block_RV,Block_Boiler_Repairs_and_Maintenance,Block_Boiler_Repairs_and_Maintenance_Unit,Block_Cleaning,Block_Cleaning_Unit,Block_Communal_Electricity,Block_Communal_Electricity_Unit,Block_Communal_Electrical_Maintenance,Block_Communal_Electrical_Maintenance_Unit,Block_Communal_Ventilation_Maintenance,Block_Communal_Ventilation_Maintenance_Unit,Block_Communal_Water_Quality,Block_Communal_Water_Quality_Unit,Block_Communal_Window_Cleaning,Block_Communal_Window_Cleaning_Unit,Block_Concierge,Block_Concierge_Unit,Block_CCTV,Block_CCTV_Unit,Block_Disinfestation,Block_Disinfestation_Unit,Block_Door_Entry_System,Block_Door_Entry_System_Unit,Block_Dry_Riser,Block_Dry_Riser_Unit,Block_Lightning_Protection,Block_Lightning_Protection_Unit,Block_Lift_Services_and_Repairs,Block_Lift_Services_and_Repairs_Unit,Block_Fire_Ventilation_Maintenance,Block_Fire_Ventilation_Maintenance_Unit,Block_Repairs_and_Maintenance,Block_Repairs_and_Maintenance_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Ext_Cleaning,Block_Ext_Cleaning_Unit,Block_Ext_External_Tree_Maintenance,Block_Ext_External_Tree_Maintenance_Unit,Block_Ext_Grounds_Maintenance,Block_Ext_Grounds_Maintenance_Unit,Block_Ext_Repairs_and_Maintenance,Block_Ext_Repairs_and_Maintenance_Unit,Estate_Cleaning,Estate_Cleaning_Unit,Estate_CCTV,Estate_CCTV_Unit,Estate_Communal_Electricity,Estate_Communal_Electricity_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Repairs_and_Maintenance,Estate_Repairs_and_Maintenance_Unit,Estate_Tree_Maintenance,Estate_Tree_Maintenance_Unit
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001328,Albert Carr Gardens 1-39,5744,0,0,5304.45,0.923476671309192,4297.94,0.74824860724234,2908.82,0.506410167130919,0,0,763.36,0.132896935933148,0,0,0,0,0,0,105.74,0.0184087743732591,577.6,0.100557103064067,0,0,0,0,0,0,0,0,3101.48,0.539951253481894,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001329,Albert Carr Gardens 4-40,5514,0,0,5092.05,0.923476605005441,1930.42,0.350094305404425,1943.39,0.352446499818643,0,0,763.36,0.138440333696046,0,0,0,0,0,0,422.96,0.0767065651070004,548.36,0.0994486760972071,0,0,0,0,0,0,0,0,3291.67,0.596965904969169,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001330,Albert Carr Gardens 41-71 (Odd),4464,0,0,4122.4,0.923476702508961,1042.62,0.233561827956989,2954.92,0.661944444444444,0,0,763.36,0.171003584229391,0,0,0,0,0,0,105.74,0.0236872759856631,577.6,0.129390681003584,0,0,0,0,0,0,0,0,4628.93,1.03694668458781,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001331,Albert Carr Gardens 42-88,6696,0,0,6183.6,0.923476702508961,2762.86,0.412613500597372,2730.62,0.407798685782557,0,0,763.36,0.11400238948626,0,0,0,0,0,0,422.96,0.0631660692951016,866.4,0.129390681003584,0,0,0,0,0,0,0,0,4151.59,0.62001045400239,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001332,Albert Carr Gardens 73-103,4464,0,0,4122.4,0.923476702508961,457.34,0.102450716845878,1820.41,0.4077979390681,0,0,763.36,0.171003584229391,0,0,0,0,0,0,422.96,0.0947491039426523,577.6,0.129390681003584,0,0,0,0,0,0,0,0,3876.3,0.868346774193548,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001333,Albert Carr Gardens 105-119,2352,0,0,2172.02,0.923477891156463,0,0,910.2,0.386989795918367,0,0,763.36,0.324557823129252,0,0,0,0,0,0,105.74,0.0449574829931973,288.8,0.122789115646259,0,0,0,0,0,0,0,0,1141.35,0.485267857142857,0,0,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA001,Albert Carr Gardens Estate,31880,BD001334,Albert Carr Gardens 121-135,2352,0,0,2172.02,0.923477891156463,0,0,910.2,0.386989795918367,0,0,763.36,0.324557823129252,0,0,0,0,0,0,105.74,0.0449574829931973,187.95,0.0799107142857143,0,0,0,0,0,0,0,0,3149.03,1.33887329931973,96.99,0.0412372448979592,0,0,0,0,0,0,0,0,22014.57,0.690544855708908,0,0,2622.79,0.0822707026348808,8162.92,0.256051442910916,6032.25,0.189217377666248,336.41,0.0105523839397742
2022,2023,EA004,Arlington Lodge Estate,34423,BD002619,Arlington Lodge 1-12 14-112 114-124,34423,0,0,30827.6,0.895552392295849,13955.64,0.405416146181332,7058.56,0.205053597885135,0,0,3105.88,0.0902268831885658,0,0,0,0,0,0,1903.32,0.0552921012113994,4566.84,0.132668274119048,0,0,0,0,15844.92,0.46030038055951,0,0,14861.06,0.43171890886907,0,0,0,0,0,0,0,0,0,0,10436.63,0.303187694274177,0,0,3488.91,0.101354036545333,4537.9,0.131827557156552,424.78,0.012340005229062,336.41,0.00977282630799175
2022,2023,EA006,Becondale Estate,28490,BD001499,Battenburg Walk 1-6 9-20 23-28 31-36,6810,0,0,6102.42,0.89609691629956,0,0,1278.45,0.18773127753304,0,0,0,0,0,0,0,0,0,0,0,0,933.65,0.137099853157122,0,0,0,0,0,0,0,0,4293.08,0.630408223201175,363.71,0.0534082232011747,0,0,0,0,0,0,0,0,17192.68,0.603463671463671,0,0,2932.88,0.102944190944191,1645.11,0.0577434187434187,1293.73,0.0454099684099684,0,0
2022,2023,EA006,Becondale Estate,28490,BD001501,Brabourne Close 1-24,5448,0,0,4881.94,0.89609765051395,0,0,1032.49,0.189517254038179,0,0,0,0,0,0,0,0,0,0,422.96,0.0776358296622614,933.64,0.171372980910426,0,0,0,0,0,0,0,0,7360.09,1.35097099853157,290.97,0.05340859030837,0,0,0,0,0,0,0,0,17192.68,0.603463671463671,0,0,2932.88,0.102944190944191,1645.11,0.0577434187434187,1293.73,0.0454099684099684,0,0
